Date,Close,High,Low,Open,Volume,Ticker
2/2/2022,4589.379883,4595.310059,4544.319824,4566.390137,4481580000,^GSPC
2/3/2022,4477.439941,4542.879883,4470.390137,4535.410156,4401970000,^GSPC
2/4/2022,4500.529785,4539.660156,4451.5,4482.790039,4706290000,^GSPC
2/7/2022,4483.870117,4521.859863,4471.470215,4505.75,4228480000,^GSPC
2/8/2022,4521.540039,4531.319824,4465.399902,4480.02002,4459620000,^GSPC
2/9/2022,4587.180176,4590.029785,4547,4547,4524350000,^GSPC
2/10/2022,4504.080078,4588.919922,4484.310059,4553.240234,5314860000,^GSPC
2/11/2022,4418.640137,4526.330078,4401.410156,4506.27002,5251500000,^GSPC
2/14/2022,4401.669922,4426.220215,4364.839844,4412.609863,4600390000,^GSPC
2/15/2022,4471.069824,4472.77002,4429.279785,4429.279785,4430830000,^GSPC
2/16/2022,4475.009766,4489.549805,4429.680176,4455.75,4283640000,^GSPC
2/17/2022,4380.259766,4456.060059,4373.810059,4456.060059,4539420000,^GSPC
2/18/2022,4348.870117,4394.600098,4327.220215,4384.569824,4708060000,^GSPC
2/22/2022,4304.759766,4362.120117,4267.109863,4332.740234,5121900000,^GSPC
2/23/2022,4225.5,4341.509766,4221.509766,4324.930176,4797430000,^GSPC
2/24/2022,4288.700195,4294.72998,4114.649902,4155.77002,6752130000,^GSPC
2/25/2022,4384.649902,4385.339844,4286.830078,4298.379883,5177060000,^GSPC
2/28/2022,4373.939941,4388.839844,4315.120117,4354.169922,6071370000,^GSPC
3/1/2022,4306.259766,4378.450195,4279.540039,4363.140137,5846230000,^GSPC
3/2/2022,4386.540039,4401.47998,4322.560059,4322.560059,5337870000,^GSPC
3/3/2022,4363.490234,4416.779785,4345.560059,4401.310059,5039890000,^GSPC
3/4/2022,4328.870117,4342.120117,4284.97998,4342.120117,5797380000,^GSPC
3/7/2022,4201.089844,4327.009766,4199.850098,4327.009766,6940470000,^GSPC
3/8/2022,4170.700195,4276.939941,4157.870117,4202.660156,7243120000,^GSPC
3/9/2022,4277.879883,4299.399902,4223.100098,4223.100098,5662670000,^GSPC
3/10/2022,4259.52002,4268.279785,4209.799805,4252.549805,4980830000,^GSPC
3/11/2022,4204.310059,4291.009766,4200.490234,4279.5,4938640000,^GSPC
3/14/2022,4173.109863,4247.569824,4161.720215,4202.75,5574920000,^GSPC
3/15/2022,4262.450195,4271.049805,4187.899902,4188.819824,5392470000,^GSPC
3/16/2022,4357.859863,4358.899902,4251.990234,4288.140137,6309750000,^GSPC
3/17/2022,4411.669922,4412.669922,4335.649902,4345.109863,4985090000,^GSPC
3/18/2022,4463.120117,4465.399902,4390.569824,4407.339844,8278430000,^GSPC
3/21/2022,4461.180176,4481.75,4424.299805,4462.399902,4869820000,^GSPC
3/22/2022,4511.609863,4522,4469.100098,4469.100098,4754840000,^GSPC
3/23/2022,4456.240234,4501.069824,4455.810059,4493.100098,4550670000,^GSPC
3/24/2022,4520.160156,4520.580078,4465.169922,4469.97998,4131390000,^GSPC
3/25/2022,4543.060059,4546.029785,4501.069824,4522.910156,4305020000,^GSPC
3/28/2022,4575.52002,4575.649902,4517.689941,4541.089844,4312260000,^GSPC
3/29/2022,4631.600098,4637.299805,4589.660156,4602.859863,5085910000,^GSPC
3/30/2022,4602.450195,4627.77002,4581.319824,4624.200195,4385570000,^GSPC
3/31/2022,4530.410156,4603.069824,4530.410156,4599.02002,4823020000,^GSPC
4/1/2022,4545.859863,4548.700195,4507.569824,4540.319824,4562940000,^GSPC
4/4/2022,4582.640137,4583.5,4539.209961,4547.970215,4547350000,^GSPC
4/5/2022,4525.120117,4593.450195,4514.169922,4572.450195,4800620000,^GSPC
4/6/2022,4481.149902,4503.939941,4450.040039,4494.169922,4986830000,^GSPC
4/7/2022,4500.209961,4521.160156,4450.299805,4474.649902,4821490000,^GSPC
4/8/2022,4488.279785,4520.410156,4474.600098,4494.149902,4083200000,^GSPC
4/11/2022,4412.529785,4464.350098,4408.379883,4462.640137,4266290000,^GSPC
4/12/2022,4397.450195,4471,4381.339844,4437.589844,4152090000,^GSPC
4/13/2022,4446.589844,4453.919922,4392.700195,4394.299805,3828150000,^GSPC
4/14/2022,4392.589844,4460.459961,4390.77002,4449.120117,4083090000,^GSPC
4/18/2022,4391.689941,4410.310059,4370.299805,4385.629883,3910490000,^GSPC
4/19/2022,4462.209961,4471.029785,4390.629883,4390.629883,4108120000,^GSPC
4/20/2022,4459.450195,4488.290039,4448.759766,4472.259766,4290450000,^GSPC
4/21/2022,4393.660156,4512.939941,4384.470215,4489.169922,4636890000,^GSPC
4/22/2022,4271.779785,4385.830078,4267.620117,4385.830078,4651940000,^GSPC
4/25/2022,4296.120117,4299.02002,4200.819824,4255.339844,5240040000,^GSPC
4/26/2022,4175.200195,4278.140137,4175.040039,4278.140137,4689970000,^GSPC
4/27/2022,4183.959961,4240.709961,4162.899902,4186.52002,4769680000,^GSPC
4/28/2022,4287.5,4308.450195,4188.629883,4222.580078,4854180000,^GSPC
4/29/2022,4131.930176,4269.680176,4124.279785,4253.75,5084030000,^GSPC
5/2/2022,4155.379883,4169.810059,4062.51001,4130.609863,5163790000,^GSPC
5/3/2022,4175.47998,4200.100098,4147.080078,4159.779785,4582050000,^GSPC
5/4/2022,4300.169922,4307.660156,4148.910156,4181.180176,5136360000,^GSPC
5/5/2022,4146.870117,4270.430176,4106.009766,4270.430176,5077030000,^GSPC
5/6/2022,4123.339844,4157.689941,4067.909912,4128.169922,5116940000,^GSPC
5/9/2022,3991.23999,4081.27002,3975.47998,4081.27002,5954520000,^GSPC
5/10/2022,4001.050049,4068.820068,3958.169922,4035.179932,5885820000,^GSPC
5/11/2022,3935.179932,4049.090088,3928.820068,3990.080078,5816140000,^GSPC
5/12/2022,3930.080078,3964.800049,3858.870117,3903.949951,6286450000,^GSPC
5/13/2022,4023.889893,4038.879883,3963.899902,3963.899902,5183340000,^GSPC
5/16/2022,4008.01001,4046.459961,3983.98999,4013.02002,4415030000,^GSPC
5/17/2022,4088.850098,4090.719971,4033.929932,4052,4841410000,^GSPC
5/18/2022,3923.679932,4051.97998,3911.909912,4051.97998,5103220000,^GSPC
5/19/2022,3900.790039,3945.959961,3876.580078,3899,5113550000,^GSPC
5/20/2022,3901.360107,3943.419922,3810.320068,3927.76001,5130730000,^GSPC
5/23/2022,3973.75,3981.879883,3909.040039,3919.419922,4420030000,^GSPC
5/24/2022,3941.47998,3955.679932,3875.129883,3942.939941,4923190000,^GSPC
5/25/2022,3978.72998,3999.330078,3925.030029,3929.590088,4802560000,^GSPC
5/26/2022,4057.840088,4075.139893,3984.600098,3984.600098,4709970000,^GSPC
5/27/2022,4158.240234,4158.490234,4077.429932,4077.429932,4375620000,^GSPC
5/31/2022,4132.149902,4168.339844,4104.879883,4151.089844,6822640000,^GSPC
6/1/2022,4101.22998,4166.540039,4073.850098,4149.779785,4531800000,^GSPC
6/2/2022,4176.819824,4177.509766,4074.370117,4095.409912,4405790000,^GSPC
6/3/2022,4108.540039,4142.669922,4098.669922,4137.569824,3711110000,^GSPC
6/6/2022,4121.430176,4168.779785,4109.180176,4134.720215,4332700000,^GSPC
6/7/2022,4160.680176,4164.859863,4080.189941,4096.470215,4248210000,^GSPC
6/8/2022,4115.77002,4160.140137,4107.200195,4147.120117,4159470000,^GSPC
6/9/2022,4017.820068,4119.100098,4017.169922,4101.649902,4134170000,^GSPC
6/10/2022,3900.860107,3974.389893,3900.159912,3974.389893,4889640000,^GSPC
6/13/2022,3749.629883,3838.149902,3734.300049,3838.149902,5636890000,^GSPC
6/14/2022,3735.47998,3778.179932,3705.679932,3763.52002,5153890000,^GSPC
6/15/2022,3789.98999,3837.560059,3722.300049,3764.050049,5530480000,^GSPC
6/16/2022,3666.77002,3728.179932,3639.77002,3728.179932,5644930000,^GSPC
6/17/2022,3674.840088,3707.709961,3636.870117,3665.899902,8520740000,^GSPC
6/21/2022,3764.790039,3779.649902,3715.310059,3715.310059,5292260000,^GSPC
6/22/2022,3759.889893,3801.790039,3717.689941,3733.889893,5058990000,^GSPC
6/23/2022,3795.72998,3802.580078,3743.52002,3774.709961,5098640000,^GSPC
6/24/2022,3911.73999,3913.649902,3821.75,3821.75,8120260000,^GSPC
6/27/2022,3900.110107,3927.719971,3889.659912,3920.76001,4325310000,^GSPC
6/28/2022,3821.550049,3945.860107,3820.139893,3913,4270120000,^GSPC
6/29/2022,3818.830078,3836.5,3799.02002,3825.090088,4211240000,^GSPC
6/30/2022,3785.379883,3818.98999,3738.669922,3785.98999,4840070000,^GSPC
7/1/2022,3825.330078,3829.820068,3752.100098,3781,4046950000,^GSPC
7/5/2022,3831.389893,3832.189941,3742.060059,3792.610107,5076590000,^GSPC
7/6/2022,3845.080078,3870.909912,3809.370117,3831.97998,4417720000,^GSPC
7/7/2022,3902.620117,3910.629883,3858.850098,3858.850098,4057770000,^GSPC
7/8/2022,3899.379883,3918.5,3869.340088,3888.26001,3521620000,^GSPC
7/11/2022,3854.429932,3880.939941,3847.219971,3880.939941,3423480000,^GSPC
7/12/2022,3818.800049,3873.409912,3802.360107,3851.949951,3817210000,^GSPC
7/13/2022,3801.780029,3829.439941,3759.070068,3779.669922,4109390000,^GSPC
7/14/2022,3790.379883,3796.409912,3721.560059,3763.98999,4199690000,^GSPC
7/15/2022,3863.159912,3863.620117,3817.179932,3818,4143800000,^GSPC
7/18/2022,3830.850098,3902.439941,3818.629883,3883.790039,4046870000,^GSPC
7/19/2022,3936.689941,3939.810059,3860.72998,3860.72998,4041070000,^GSPC
7/20/2022,3959.899902,3974.129883,3922.030029,3935.320068,4185300000,^GSPC
7/21/2022,3998.949951,3999.290039,3927.639893,3955.469971,4132790000,^GSPC
7/22/2022,3961.629883,4012.439941,3938.860107,3998.429932,3979240000,^GSPC
7/25/2022,3966.840088,3975.300049,3943.459961,3965.719971,3568340000,^GSPC
7/26/2022,3921.050049,3953.219971,3910.73999,3953.219971,3778950000,^GSPC
7/27/2022,4023.610107,4039.560059,3951.429932,3951.429932,4112180000,^GSPC
7/28/2022,4072.429932,4078.949951,3992.969971,4026.129883,4413000000,^GSPC
7/29/2022,4130.290039,4140.149902,4079.219971,4087.330078,4616360000,^GSPC
8/1/2022,4118.629883,4144.950195,4096.02002,4112.379883,4202810000,^GSPC
8/2/2022,4091.189941,4140.470215,4079.810059,4104.209961,4727710000,^GSPC
8/3/2022,4155.169922,4167.660156,4107.959961,4107.959961,4351760000,^GSPC
8/4/2022,4151.939941,4161.290039,4135.419922,4154.850098,4283320000,^GSPC
8/5/2022,4145.189941,4151.580078,4107.310059,4115.870117,4085940000,^GSPC
8/8/2022,4140.060059,4186.620117,4128.970215,4155.930176,4221090000,^GSPC
8/9/2022,4122.470215,4137.299805,4112.089844,4133.109863,3913090000,^GSPC
8/10/2022,4210.240234,4211.029785,4177.259766,4181.02002,4546010000,^GSPC
8/11/2022,4207.27002,4257.910156,4201.410156,4227.399902,4630200000,^GSPC
8/12/2022,4280.149902,4280.470215,4219.779785,4225.02002,3788010000,^GSPC
8/15/2022,4297.140137,4301.790039,4256.899902,4269.370117,3696830000,^GSPC
8/16/2022,4305.200195,4325.279785,4277.77002,4290.459961,4329820000,^GSPC
8/17/2022,4274.040039,4302.180176,4253.080078,4280.399902,3885030000,^GSPC
8/18/2022,4283.740234,4292.529785,4261.97998,4273.129883,3340330000,^GSPC
8/19/2022,4228.47998,4266.310059,4218.700195,4266.310059,3761340000,^GSPC
8/22/2022,4137.990234,4195.080078,4129.859863,4195.080078,3907430000,^GSPC
8/23/2022,4128.72998,4159.77002,4124.029785,4133.089844,3823520000,^GSPC
8/24/2022,4140.77002,4156.560059,4119.970215,4126.549805,3583630000,^GSPC
8/25/2022,4199.120117,4200.540039,4147.589844,4153.259766,3566870000,^GSPC
8/26/2022,4057.659912,4203.040039,4057.659912,4198.740234,3832750000,^GSPC
8/29/2022,4030.610107,4062.98999,4017.419922,4034.580078,3396510000,^GSPC
8/30/2022,3986.159912,4044.97998,3965.209961,4041.25,3835860000,^GSPC
8/31/2022,3955,4015.370117,3954.530029,4000.669922,4542490000,^GSPC
